film_title,imdb_id,url,imdbRating,budget,release_day,release_month,release_year,duration_minutes,main_spoken_language,total_number_of_spoken_languages,total_number_of_genres,genre_action,genre_adventure,genre_animation,genre_biography,genre_comedy,genre_crime,genre_documentary,genre_drama,genre_family,genre_fantasy,genre_filmnoir,genre_history,genre_horror,genre_music,genre_musical,genre_mystery,genre_realitytv,genre_romance,genre_scifi,genre_shortfilm,genre_sport,genre_thriller,genre_war,genre_western,main_actor1_name,main_actor1_is_female,main_actor1_known_for,main_actor1_star_meter,main_actor2_name,main_actor2_is_female,main_actor2_known_for,main_actor2_star_meter,main_actor3_name,main_actor3_is_female,main_actor3_known_for,main_actor3_star_meter,total_number_of_actors,main_director_name,main_director_is_female,total_number_of_directors,main_producer_name,total_number_of_producers,editor_name,main_production_company,total_number_of_production_companies,main_production_country,total_number_of_production_countries
28 Weeks Later,tt0463854,http://www.imdb.com/title/tt0463854/,7,15000000,26,4,2007,100,English,1,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,Imogen Poots,1,Green Room (2015),579,Robert Carlyle,0,The Full Monty (1997),1198,Rose Byrne,1,Spy (2015),394,52,Juan Carlos Fresnadillo,0,1,Andrew Macdonald,4,Chris Gill,DNA Films,6,Spain,2
3 Idiots,tt1187043,http://www.imdb.com/title/tt1187043/,8.5,9000000,23,12,2009,170,English,2,3,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Aamir Khan,0,Lagaan: Once Upon a Time in India (2001),2492,Kareena Kapoor,1,Jab We Met (2007),5867,Madhavan,0,3 Idiots (2009),13958,20,Rajkumar Hirani,0,1,Vidhu Vinod Chopra,1,Rajkumar Hirani,Vidhu Vinod Chopra Productions,1,India,1
3:10 to Yuma,tt0381849,http://www.imdb.com/title/tt0381849/,7.8,55000000,6,9,2007,122,English,1,3,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Russell Crowe,0,Les Mis\xc3\xa9rables (2012),807,Christian Bale,0,The Dark Knight (2008),49,Logan Lerman,0,The Perks of Being a Wallflower (2012),1399,44,James Mangold,0,1,Cathy Konrad,1,Michael McCusker,Tree Line Films,4,United States of America,1
3:10 to Yuma,tt0050086,http://www.imdb.com/title/tt0050086/,7.6,,7,8,1957,92,English,1,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,Glenn Ford,0,Superman (1978),6584,Van Heflin,0,Shane (1953),11174,Felicia Farr,1,Charley Varrick (1973),8083,27,Delmer Daves,0,1,David Heilweil,1,Al Clark,Columbia Pictures Corporation,1,United States of America,1
30 Days of Night,tt0389722,http://www.imdb.com/title/tt0389722/,6.6,30000000,17,10,2007,113,English,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,Josh Hartnett,0,Lucky Number Slevin (2006),737,Melissa George,1,Hunted (2012),726,Ben Foster,0,Hell or High Water (II) (2016),443,42,David Slade,0,1,Sam Raimi,3,Art Jones,Columbia Pictures,4,New Zealand,2
30 Minutes or Less,tt1622547,http://www.imdb.com/title/tt1622547/,6.2,28000000,11,8,2011,83,English,3,3,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Jesse Eisenberg,0,The Social Network (2010),746,Danny McBride,0,Pineapple Express (2008),1167,Aziz Ansari,0,Parks and Recreation (2009),4397,15,Ruben Fleischer,0,1,none,0,none,Columbia Pictures,1,United States of America,3
300: Rise of an Empire,tt1253863,http://www.imdb.com/title/tt1253863/,7,110000000,5,3,2014,102,English,1,3,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sullivan Stapleton,0,Animal Kingdom (2010),3290,Eva Green,1,Casino Royale (2006),316,Lena Headey,1,Game of Thrones (2011),51,42,Noam Murro,0,1,Gianni Nunnari,6,David Brenner,Legendary Pictures,6,United States of America,1
3000 Miles to Graceland,tt0233142,http://www.imdb.com/title/tt0233142/,5.9,62000000,23,2,2001,125,English,1,3,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Kurt Russell,0,Escape from L.A. (1996),784,Kevin Costner,0,The Postman (1997),522,Courteney Cox,1,Friends (1994),561,13,Demian Lichtenstein,0,1,Demian Lichtenstein,5,Michael J. Duthie,Franchise Pictures,3,United States of America,1
36 China Town,tt0477252,http://www.imdb.com/title/tt0477252/,5.5,,5,5,2006,147,हिन्दी,1,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,Shahid Kapoor,0,Haider (2014),8139,Kareena Kapoor,1,Jab We Met (2007),5867,Akshaye Khanna,0,Dil Chahta Hai (2001),19149,12,Mastan Alibhai Burmawalla,0,2,none,0,none,Mukta Arts Ltd,1,India,1
4: Rise of the Silver Surfer,tt0486576,http://www.imdb.com/title/tt0486576/,5.6,130000000,13,6,2007,92,English,4,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Ioan Gruffudd,0,Fantastic Four (I) (2005),1823,Jessica Alba,1,Fantastic Four (I) (2005),872,Chris Evans,0,The Avengers (2012),122,18,Tim Story,0,1,Bernd Eichinger,3,Michael McCusker,Ingenious Film Partners,7,Germany,3
48 Hrs.,tt0083511,http://www.imdb.com/title/tt0083511/,6.9,12000000,7,12,1982,96,English,1,3,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Nick Nolte,0,Warrior (2011),2706,Eddie Murphy,0,The Nutty Professor (1996),934,Annette OToole,1,Superman III (1983),2684,55,Walter Hill,0,1,Joel Silver,2,Freeman A. Davies,Paramount Pictures,1,United States of America,1
50 First Dates,tt0343660,http://www.imdb.com/title/tt0343660/,6.8,75000000,13,2,2004,99,English,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Adam Sandler,0,The Waterboy (1998),383,Drew Barrymore,1,Never Been Kissed (1999),754,Rob Schneider,0,The Hot Chick (2002),2461,55,Peter Segal,0,1,Jack Giarraputo,3,Jeff Gourson,Columbia Pictures Corporation,4,United States of America,1
50/50,tt1306980,http://www.imdb.com/title/tt1306980/,7.8,8000000,30,9,2011,100,English,1,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Joseph Gordon-Levitt,0,Inception (2010),674,Seth Rogen,0,This Is the End (2013),783,Anna Kendrick,1,Up in the Air (I) (2009),54,38,Jonathan Levine,0,1,Evan Goldberg,3,Zene Baker,Summit Entertainment,2,United States of America,1
52 Pick-Up,tt0090567,http://www.imdb.com/title/tt0090567/,6.4,,7,11,1986,110,English,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Roy Scheider,0,Jaws (1975),4624,Ann-Margret,1,Grumpy Old Men (1993),970,Vanity,1,52 Pick-Up (1986),6833,22,John Frankenheimer,0,1,Menahem Golan,2,Robert F. Shugrue,Cannon Group,1,United States of America,1
8 Mile,tt0298203,http://www.imdb.com/title/tt0298203/,6.9,41000000,8,11,2002,110,English,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Eminem,0,Funny People (2009),2374,Mekhi Phifer,0,ER (1994),4606,Brittany Murphy,1,Just Married (2003),965,19,Curtis Hanson,0,1,Curtis Hanson,3,Jay Rabinowitz,Imagine Entertainment,2,United States of America,1
8 Seconds,tt0109021,http://www.imdb.com/title/tt0109021/,6.4,,25,2,1994,105,English,2,3,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Luke Perry,0,"Beverly Hills, 90210 (1990)",2087,Stephen Baldwin,0,The Usual Suspects (1995),2974,Cynthia Geary,1,Northern Exposure (1990),15377,6,John G. Avildsen,0,1,none,0,none,New Line Cinema,1,United States of America,1
8½,tt0056801,http://www.imdb.com/title/tt0056801/,8.2,,14,2,1963,138,Deutsch,4,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Marcello Mastroianni,0,8\xc2\xbd (1963),4329,Claudia Cardinale,1,8\xc2\xbd (1963),543,Anouk Aimée,1,none,9165045,17,Federico Fellini,0,1,Angelo Rizzoli,1,Leo Cattozzo,Cineriz,2,France,2
88 Minutes,tt0411061,http://www.imdb.com/title/tt0411061/,5.9,30000000,14,2,2007,108,English,1,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,Al Pacino,0,Serpico (1973),516,Alicia Witt,1,88 Minutes (2007),1300,Leelee Sobieski,1,88 Minutes (2007),1503,15,Jon Avnet,0,1,Gary Scott Thompson,6,Peter E. Berger,TriStar Pictures,3,United States of America,1
